Index,RecordType,FrameIndex,World,ExecutingSystem,OriginSystem,Entities,ComponentTypes,Data
335,SetComponentData,186,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.88700922671705 DeltaTime=0.0112778}}]"
336,SetComponentData,187,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.90038293041289 DeltaTime=0.0133737}}]"
337,GetBufferRW,187,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
338,SetComponentData,187,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.90000015124679 DeltaTime=0.01666667}}]"
339,GetBufferRW,187,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
340,SetComponentData,187,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.90038293041289 DeltaTime=0.0133737}}]"
341,GetBufferRW,187,"Default World",Unity.Entities.VariableRateSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
342,SetComponentData,187,"Default World",Unity.Entities.VariableRateSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=6.6562739610672 DeltaTime=0.0691649}}]"
343,GetBufferRW,187,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
344,SetComponentData,187,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.90038293041289 DeltaTime=0.0133737}}]"
345,SetComponentData,188,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.91483582835644 DeltaTime=0.0144529}}]"
346,SetComponentData,189,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.92873472999781 DeltaTime=0.0138989}}]"
347,GetBufferRW,189,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
348,SetComponentData,189,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.91666681878269 DeltaTime=0.01666667}}]"
349,GetBufferRW,189,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
350,SetComponentData,189,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.92873472999781 DeltaTime=0.0138989}}]"
351,SetComponentData,190,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.94577843043953 DeltaTime=0.0170437}}]"
352,GetBufferRW,190,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
353,SetComponentData,190,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.93333348631859 DeltaTime=0.01666667}}]"
354,GetBufferRW,190,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
355,SetComponentData,190,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.94577843043953 DeltaTime=0.0170437}}]"
356,SetComponentData,191,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.9557834258303 DeltaTime=0.010005}}]"
357,GetBufferRW,191,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
358,SetComponentData,191,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.95000015385449 DeltaTime=0.01666667}}]"
359,GetBufferRW,191,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
360,SetComponentData,191,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.9557834258303 DeltaTime=0.010005}}]"
361,SetComponentData,192,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.96506832540035 DeltaTime=0.0092849}}]"
362,SetComponentData,193,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.97828332707286 DeltaTime=0.013215}}]"
363,GetBufferRW,193,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
364,SetComponentData,193,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.96666682139039 DeltaTime=0.01666667}}]"
365,GetBufferRW,193,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
366,SetComponentData,193,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.97828332707286 DeltaTime=0.013215}}]"
367,GetBufferRW,193,"Default World",Unity.Entities.VariableRateSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
368,SetComponentData,193,"Default World",Unity.Entities.VariableRateSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=6.73470775783062 DeltaTime=0.0784338}}]"
369,GetBufferRW,193,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
370,SetComponentData,193,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.97828332707286 DeltaTime=0.013215}}]"
371,GetBufferRW,194,"Default World",,,"Scene (Live converted): New Sub Scene (42:1)",Unity.Scenes.ResolvedSectionEntity,
372,SetComponentData,194,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.98998532537371 DeltaTime=0.011702}}]"
373,GetBufferRW,194,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
374,SetComponentData,194,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.98333348892629 DeltaTime=0.01666667}}]"
375,GetBufferRW,194,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
376,SetComponentData,194,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.98998532537371 DeltaTime=0.011702}}]"
377,SetComponentData,195,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.00082902610302 DeltaTime=0.0108437}}]"
378,GetBufferRW,195,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
379,SetComponentData,195,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.00000015646219 DeltaTime=0.01666667}}]"
380,GetBufferRW,195,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
381,SetComponentData,195,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.00082902610302 DeltaTime=0.0108437}}]"
382,SetComponentData,196,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.01440452877432 DeltaTime=0.0135755}}]"
383,SetComponentData,197,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.0244232295081 DeltaTime=0.0100187}}]"
384,GetBufferRW,197,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
385,SetComponentData,197,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.01666682399809 DeltaTime=0.01666667}}]"
386,GetBufferRW,197,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
387,SetComponentData,197,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.0244232295081 DeltaTime=0.0100187}}]"
388,SetComponentData,198,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.03966292645782 DeltaTime=0.0152397}}]"
389,GetBufferRW,198,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
390,SetComponentData,198,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.03333349153399 DeltaTime=0.01666667}}]"
391,GetBufferRW,198,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
392,SetComponentData,198,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.03966292645782 DeltaTime=0.0152397}}]"
393,SetComponentData,199,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.05008402932435 DeltaTime=0.0104211}}]"
394,GetBufferRW,199,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
395,SetComponentData,199,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.0500001590699 DeltaTime=0.01666667}}]"
396,GetBufferRW,199,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
397,SetComponentData,199,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.05008402932435 DeltaTime=0.0104211}}]"
398,GetBufferRW,199,"Default World",Unity.Entities.VariableRateSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
399,SetComponentData,199,"Default World",Unity.Entities.VariableRateSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=6.8058118596673 DeltaTime=0.0711041}}]"
400,GetBufferRW,199,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
401,SetComponentData,199,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.05008402932435 DeltaTime=0.0104211}}]"
402,SetComponentData,200,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.05991243105382 DeltaTime=0.009828402}}]"
403,SetComponentData,201,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.07202522829175 DeltaTime=0.0121128}}]"
404,GetBufferRW,201,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
405,SetComponentData,201,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.0666668266058 DeltaTime=0.01666667}}]"
406,GetBufferRW,201,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
407,SetComponentData,201,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.07202522829175 DeltaTime=0.0121128}}]"
408,SetComponentData,202,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.08281163033098 DeltaTime=0.0107864}}]"
409,SetComponentData,203,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.09182843193412 DeltaTime=0.009016802}}]"
410,GetBufferRW,203,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
411,SetComponentData,203,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.0833334941417 DeltaTime=0.01666667}}]"
412,GetBufferRW,203,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
413,SetComponentData,203,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.09182843193412 DeltaTime=0.009016802}}]"
414,SetComponentData,204,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.10315893124789 DeltaTime=0.0113305}}]"
415,GetBufferRW,204,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
416,SetComponentData,204,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.1000001616776 DeltaTime=0.01666667}}]"
417,GetBufferRW,204,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
418,SetComponentData,204,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.10315893124789 DeltaTime=0.0113305}}]"
419,SetComponentData,205,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.1154016321525 DeltaTime=0.0122427}}]"
420,SetComponentData,206,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.12547812703997 DeltaTime=0.01007649}}]"
421,GetBufferRW,206,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
422,SetComponentData,206,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.1166668292135 DeltaTime=0.01666667}}]"
423,GetBufferRW,206,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
424,SetComponentData,206,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.12547812703997 DeltaTime=0.01007649}}]"
425,GetBufferRW,206,"Default World",Unity.Entities.VariableRateSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
426,SetComponentData,206,"Default World",Unity.Entities.VariableRateSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=6.88132715970278 DeltaTime=0.0755153}}]"
427,GetBufferRW,206,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
428,SetComponentData,206,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.12547812703997 DeltaTime=0.01007649}}]"
429,SetComponentData,207,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.13558682892472 DeltaTime=0.0101087}}]"
430,GetBufferRW,207,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
431,SetComponentData,207,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.1333334967494 DeltaTime=0.01666667}}]"
432,GetBufferRW,207,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
433,SetComponentData,207,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.13558682892472 DeltaTime=0.0101087}}]"
434,GetBufferRW,208,"Default World",,,"Scene (Live converted): New Sub Scene (42:1)",Unity.Scenes.ResolvedSectionEntity,
435,SetComponentData,208,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.15070302784443 DeltaTime=0.0151162}}]"
436,GetBufferRW,208,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
437,SetComponentData,208,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.1500001642853 DeltaTime=0.01666667}}]"
438,GetBufferRW,208,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
439,SetComponentData,208,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.15070302784443 DeltaTime=0.0151162}}]"
440,SetComponentData,209,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.16211603116244 DeltaTime=0.011413}}]"
441,SetComponentData,210,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.17359392903745 DeltaTime=0.0114779}}]"
442,GetBufferRW,210,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
443,SetComponentData,210,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.1666668318212 DeltaTime=0.01666667}}]"
444,GetBufferRW,210,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
445,SetComponentData,210,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.17359392903745 DeltaTime=0.0114779}}]"
446,SetComponentData,211,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.18459022976458 DeltaTime=0.0109963}}]"
447,GetBufferRW,211,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
448,SetComponentData,211,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.1833334993571 DeltaTime=0.01666667}}]"
449,GetBufferRW,211,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
450,SetComponentData,211,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.18459022976458 DeltaTime=0.0109963}}]"
451,SetComponentData,212,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.19460852630436 DeltaTime=0.0100183}}]"
452,GetBufferRW,212,"Default World",Unity.Entities.VariableRateSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
453,SetComponentData,212,"Default World",Unity.Entities.VariableRateSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=6.95070966333151 DeltaTime=0.0693825}}]"
454,GetBufferRW,212,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
455,SetComponentData,212,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.19460852630436 DeltaTime=0.0100183}}]"
456,SetComponentData,213,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.20877822581679 DeltaTime=0.0141697}}]"
457,GetBufferRW,213,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
458,SetComponentData,213,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.20000016689301 DeltaTime=0.01666667}}]"
459,GetBufferRW,213,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
460,SetComponentData,213,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.20877822581679 DeltaTime=0.0141697}}]"
461,SetComponentData,214,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.22165512479842 DeltaTime=0.0128769}}]"
462,GetBufferRW,214,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
463,SetComponentData,214,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.21666683442891 DeltaTime=0.01666667}}]"
464,GetBufferRW,214,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
465,SetComponentData,214,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.22165512479842 DeltaTime=0.0128769}}]"
466,SetComponentData,215,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.23537982720882 DeltaTime=0.0137247}}]"
467,GetBufferRW,215,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
468,SetComponentData,215,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.23333350196481 DeltaTime=0.01666667}}]"
469,GetBufferRW,215,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
470,SetComponentData,215,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.23537982720882 DeltaTime=0.0137247}}]"
471,SetComponentData,216,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.24596942495555 DeltaTime=0.0105896}}]"
472,SetComponentData,217,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.25539612583816 DeltaTime=0.009426701}}]"
473,GetBufferRW,217,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
474,SetComponentData,217,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.25000016950071 DeltaTime=0.01666667}}]"
475,GetBufferRW,217,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
476,SetComponentData,217,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.25539612583816 DeltaTime=0.009426701}}]"
477,SetComponentData,218,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.26584283076227 DeltaTime=0.0104467}}]"
478,GetBufferRW,218,"Default World",Unity.Entities.VariableRateSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
479,SetComponentData,218,"Default World",Unity.Entities.VariableRateSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=7.02165746688843 DeltaTime=0.0709478}}]"
480,GetBufferRW,218,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
481,SetComponentData,218,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.26584283076227 DeltaTime=0.0104467}}]"
482,SetComponentData,219,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.28031053207815 DeltaTime=0.0144677}}]"
483,GetBufferRW,219,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
484,SetComponentData,219,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.26666683703661 DeltaTime=0.01666667}}]"
485,GetBufferRW,219,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
486,SetComponentData,219,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.28031053207815 DeltaTime=0.0144677}}]"
487,SetComponentData,220,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.28941082954407 DeltaTime=0.009100297}}]"
488,GetBufferRW,220,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
489,SetComponentData,220,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.28333350457251 DeltaTime=0.01666667}}]"
490,GetBufferRW,220,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
491,SetComponentData,220,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.28941082954407 DeltaTime=0.009100297}}]"
492,GetBufferRW,221,"Default World",,,"Scene (Live converted): New Sub Scene (42:1)",Unity.Scenes.ResolvedSectionEntity,
493,SetComponentData,221,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.30121333058923 DeltaTime=0.0118025}}]"
494,GetBufferRW,221,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
495,SetComponentData,221,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.30000017210841 DeltaTime=0.01666667}}]"
496,GetBufferRW,221,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
497,SetComponentData,221,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.30121333058923 DeltaTime=0.0118025}}]"
498,SetComponentData,222,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.31612472515553 DeltaTime=0.01491139}}]"
499,SetComponentData,223,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=3.32469312753528 DeltaTime=0.008568402}}]"
500,GetBufferRW,223,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
